,panda,our,nodes,lines,total demand,total capacity,gen error,phase error,objective error,flow error,both up,both down,obj error,our L
187,1,1,7,16,680,2550,0,4.49E-08,0.000112206,0.00010439,1,0,0,0
188,1,1,7,14,800,2700,2.27E-13,0.058539147,1.94E-05,59.74944291,1,0,0,0
189,1,1,11,24,1080,2100,-2.27E-13,1.80E-09,6.23E-05,3.80E-06,1,0,0,0
190,1,1,11,16,1180,2100,1.36E-12,2.697548038,-12147.57599,1131.325565,1,0,1,0
191,1,1,6,9,620,2850,-1.14E-13,1.76E-10,9.89E-06,2.54E-07,1,0,0,0
192,1,1,7,15,780,2550,1.14E-13,3.38E-09,4.83E-05,6.49E-06,1,0,0,0
193,1,1,6,15,660,1800,1.14E-13,3.76E-09,0.000103739,9.07E-06,1,0,0,0
194,1,1,7,17,600,2400,4.55E-13,2.07E-08,2.50E-05,4.88E-05,1,0,0,0
195,1,1,9,19,900,2850,3.41E-13,2.29E-08,0.000149576,3.15E-05,1,0,0,0
196,1,1,8,14,700,4050,1.14E-13,5.90E-09,2.71E-05,7.54E-06,1,0,0,0
197,1,1,8,16,980,1050,0,3.33E-16,0,6.49E-13,1,0,0,0
198,0,0,10,15,1000,750,-1,-1,-1,-1,0,1,1,0
199,1,1,6,13,780,1200,3.41E-13,1.80E-16,1.09E-11,3.11E-13,1,0,0,0
,,,,,,,,,,,175,14,35,11
